Id,Name,Type,Rate,Total,Order
1,Liam,M,20502,20502,599
2,Noah,M,19048,39550,475
3,Emma,F,17102,56652,516
4,Ava,F,14440,71092,843
5,Oliver,M,13891,84983,798
6,Sophia,F,13714,98697,235
7,William,M,13542,112239,284
8,Isabella,F,13306,125545,14
9,Elijah,M,13300,138845,249
10,Charlotte,F,13138,151983,447
11,James,M,13087,165070,62
12,Benjamin,M,12942,178012,929
13,Amelia,F,12862,190874,523
14,Mia,F,12414,203288,794
15,Lucas,M,12412,215700,820
16,Mason,M,11408,227108,968
17,Ethan,M,11241,238349,178
18,Alexander,M,11230,249579,540
19,Henry,M,10704,260283,745
20,Jacob,M,10679,270962,279
21,Michael,M,10514,281476,408
22,Daniel,M,10504,291980,283
23,Logan,M,10490,302470,391
24,Harper,F,10442,312912,522
25,Evelyn,F,10392,323304,28
26,Jackson,M,10102,333406,793
27,Sebastian,M,9828,343234,435
28,Jack,M,9349,352583,833
29,Aiden,M,9326,361909,969
30,Owen,M,9302,371211,628
31,Samuel,M,9237,380448,348
32,Matthew,M,9199,389647,784
33,Abigail,F,9106,398753,74
34,Joseph,M,9058,407811,693
35,Levi,M,8973,416784,897
36,Mateo,M,8962,425746,397
37,David,M,8896,434642,937
38,John,M,8779,443421,896
39,Wyatt,M,8772,452193,117
40,Carter,M,8631,460824,515
41,Julian,M,8401,469225,321
42,Luke,M,8375,477600,800
43,Grayson,M,8237,485837,287
44,Emily,F,8213,494050,810
45,Isaac,M,8148,502198,210
46,Ella,F,8079,510277,687
47,Jayden,M,7903,518180,836
48,Elizabeth,F,7844,526024,537
49,Theodore,M,7839,533863,830
50,Camila,F,7809,541672,670
51,Luna,F,7755,549427,67
52,Gabriel,M,7678,557105,625
53,Anthony,M,7669,564774,641
54,Dylan,M,7514,572288,638
55,Leo,M,7454,579742,792
56,Lincoln,M,7432,587174,193
57,Sofia,F,7355,594529,185
58,Avery,F,7311,601840,247
59,Mila,F,7309,609149,828
60,Jaxon,M,7221,616370,758
61,Aria,F,7072,623442,683
62,Scarlett,F,7044,630486,993
63,Asher,M,6984,637470,951
64,Christopher,M,6960,644430,841
65,Josiah,M,6767,651197,168
66,Andrew,M,6757,657954,360
67,Penelope,F,6697,664651,630
68,Thomas,M,6612,671263,70
69,Joshua,M,6574,677837,198
70,Ezra,M,6489,684326,122
71,Layla,F,6478,690804,899
72,Hudson,M,6462,697266,403
73,Chloe,F,6361,703627,107
74,Charles,M,6348,709975,41
75,Caleb,M,6345,716320,17
76,Victoria,F,6344,722664,75
77,Madison,F,6269,728933,624
78,Eleanor,F,6164,735097,813
79,Isaiah,M,6150,741247,657
80,Ryan,M,6087,747334,795
81,Grace,F,6062,753396,837
82,Nathan,M,6049,759445,262
83,Nora,F,5899,765344,317
84,Adrian,M,5755,771099,963
85,Christian,M,5739,776838,677
86,Maverick,M,5729,782567,533
87,Colton,M,5710,788277,724
88,Elias,M,5690,793967,622
89,Riley,F,5676,799643,237
90,Zoey,F,5650,805293,201
91,Hannah,F,5586,810879,777
92,Aaron,M,5509,816388,643
93,Eli,M,5483,821871,999
94,Landon,M,5471,827342,233
95,Hazel,F,5431,832773,30
96,Lily,F,5419,838192,831
97,Jonathan,M,5418,843610,460
98,Ellie,F,5404,849014,485
99,Violet,F,5386,854400,104
100,Nolan,M,5384,859784,759
101,Hunter,M,5353,865137,610
102,Cameron,M,5226,870363,658
103,Connor,M,5140,875503,387
104,Lillian,F,5092,880595,465
105,Zoe,F,5034,885629,910
106,Santiago,M,5027,890656,732
107,Jeremiah,M,5026,895682,852
108,Stella,F,4965,900647,76
109,Aurora,F,4952,905599,466
110,Ezekiel,M,4890,910489,136
111,Angel,M,4883,915372,926
112,Roman,M,4877,920249,359
113,Easton,M,4862,925111,612
114,Miles,M,4840,929951,627
115,Robert,M,4813,934764,583
116,Natalie,F,4782,939546,720
117,Emilia,F,4751,944297,156
118,Everly,F,4751,949048,666
119,Leah,F,4739,953787,571
120,Jameson,M,4649,958436,225
121,Nicholas,M,4601,963037,216
122,Aubrey,F,4570,967607,388
123,Willow,F,4566,972173,494
124,Greyson,M,4553,976726,997
125,Cooper,M,4529,981255,311
126,Ian,M,4525,985780,103
127,Carson,M,4495,990275,878
128,Axel,M,4479,994754,71
129,Addison,F,4473,999227,112
130,Jaxson,M,4472,1003699,140
131,Lucy,F,4444,1008143,560
132,Audrey,F,4430,1012573,809
133,Dominic,M,4410,1016983,351
134,Leonardo,M,4408,1021391,496
135,Luca,M,4401,1025792,315
136,Austin,M,4369,1030161,753
137,Bella,F,4354,1034515,288
138,Jordan,M,4306,1038821,101
139,Nova,F,4294,1043115,77
140,Brooklyn,F,4270,1047385,556
141,Paisley,F,4242,1051627,281
142,Adam,M,4168,1055795,369
143,Xavier,M,4162,1059957,695
144,Savannah,F,4148,1064105,805
145,Claire,F,4111,1068216,176
146,Jose,M,4108,1072324,660
147,Jace,M,4067,1076391,444
148,Everett,M,4058,1080449,626
149,Skylar,F,4022,1084471,710
150,Isla,F,4021,1088492,357
151,Genesis,F,4009,1092501,867
152,Declan,M,3951,1096452,160
153,Evan,M,3942,1100394,189
154,Naomi,F,3929,1104323,936
155,Elena,F,3920,1108243,779
156,Caroline,F,3900,1112143,973
157,Kayden,M,3887,1116030,953
158,Parker,M,3878,1119908,415
159,Eliana,F,3868,1123776,913
160,Anna,F,3807,1127583,436
161,Maya,F,3782,1131365,789
162,Valentina,F,3782,1135147,876
163,Wesley,M,3731,1138878,528
164,Kai,M,3718,1142596,845
165,Ruby,F,3707,1146303,860
166,Kennedy,F,3670,1149973,994
167,Ivy,F,3664,1153637,616
168,Brayden,M,3656,1157293,948
169,Ariana,F,3652,1160945,173
170,Aaliyah,F,3636,1164581,512
171,Bryson,M,3606,1168187,39
172,Cora,F,3567,1171754,917
173,Weston,M,3563,1175317,783
174,Madelyn,F,3557,1178874,24
175,Jason,M,3555,1182429,706
176,Emmett,M,3541,1185970,723
177,Sawyer,M,3535,1189505,614
178,Silas,M,3531,1193036,373
179,Alice,F,3527,1196563,445
180,Bennett,M,3504,1200067,187
181,Brooks,M,3493,1203560,655
182,Kinsley,F,3493,1207053,548
183,Hailey,F,3469,1210522,883
184,Gabriella,F,3461,1213983,484
185,Micah,M,3461,1217444,553
186,Damian,M,3437,1220881,921
187,Harrison,M,3437,1224318,829
188,Waylon,M,3429,1227747,230
189,Allison,F,3424,1231171,943
190,Gianna,F,3408,1234579,774
191,Serenity,F,3405,1237984,172
192,Samantha,F,3351,1241335,491
193,Ayden,M,3345,1244680,426
194,Vincent,M,3336,1248016,440
195,Ryder,M,3295,1251311,668
196,Sarah,F,3287,1254598,454
197,Autumn,F,3261,1257859,355
